Category,Year,Laureate
Physics,Georg Bednorz;K. Alex Müller,Donald J. Cram
Physics,Georg Bednorz;K. Alex Müller,Jean-Marie Lehn
Physics,Georg Bednorz;K. Alex Müller,Charles J. Pedersen
Physics,Leon M. Lederman;Melvin Schwartz;Jack Steinberger,Johann Deisenhofer
Physics,Leon M. Lederman;Melvin Schwartz;Jack Steinberger,Robert Huber
Physics,Leon M. Lederman;Melvin Schwartz;Jack Steinberger,Hartmut Michel
Physics,Norman Ramsey Jr.;Hans Georg Dehmelt;Wolfgang Paul,Sidney Altman
Physics,Norman Ramsey Jr.;Hans Georg Dehmelt;Wolfgang Paul,Thomas Cech
Physics,Jerome Isaac Friedman;Henry Way Kendall;Richard E. Taylor,Elias James Corey
Physics,Pierre-Gilles de Gennes,Richard R. Ernst
Physics,Georges Charpak,Rudolph A. Marcus
Physics,Russell Alan Hulse;Joseph Hooton Taylor Jr.,Kary Mullis
Physics,Russell Alan Hulse;Joseph Hooton Taylor Jr.,Michael Smith
Physics,Bertram Brockhouse;Clifford Shull,George Andrew Olah
Physics,Martin Lewis Perl;Frederick Reines,Paul J. Crutzen
Physics,Martin Lewis Perl;Frederick Reines,Mario J. Molina
Physics,Martin Lewis Perl;Frederick Reines,F. Sherwood Rowland
Physics,David Lee;Douglas Osheroff;Robert Coleman Richardson,Robert Curl
Physics,David Lee;Douglas Osheroff;Robert Coleman Richardson,Harry Kroto
Physics,David Lee;Douglas Osheroff;Robert Coleman Richardson,Richard Smalley
Physics,Steven Chu;Claude Cohen-Tannoudji;William Daniel Phillips,Paul D. Boyer
Physics,Steven Chu;Claude Cohen-Tannoudji;William Daniel Phillips,John E. Walker
Physics,Steven Chu;Claude Cohen-Tannoudji;William Daniel Phillips,Jens Christian Skou
Physics,Robert B. Laughlin;Horst Ludwig Störmer;Daniel C. Tsui,Walter Kohn
Physics,Robert B. Laughlin;Horst Ludwig Störmer;Daniel C. Tsui,John Pople
Physics,Gerard 't Hooft;Martinus J. G. Veltman,Ahmed Zewail
Physics,Jack Kilby;Zhores Alferov;Herbert Kroemer,Alan J. Heeger
Physics,Jack Kilby;Zhores Alferov;Herbert Kroemer,Alan MacDiarmid
Physics,Jack Kilby;Zhores Alferov;Herbert Kroemer,Hideki Shirakawa
Physics,Eric Allin Cornell;Wolfgang Ketterle;Carl Wieman,William Standish Knowles
Physics,Eric Allin Cornell;Wolfgang Ketterle;Carl Wieman,Ryōji Noyori
Physics,Eric Allin Cornell;Wolfgang Ketterle;Carl Wieman,Karl Barry Sharpless
Physics,Riccardo Giacconi;Raymond Davis Jr.;Masatoshi Koshiba,John B. Fenn
Physics,Riccardo Giacconi;Raymond Davis Jr.;Masatoshi Koshiba,Koichi Tanaka
Physics,Riccardo Giacconi;Raymond Davis Jr.;Masatoshi Koshiba,Kurt Wüthrich
Physics,Alexei Abrikosov;Vitaly Ginzburg;Anthony James Leggett,Peter Agre
Physics,Alexei Abrikosov;Vitaly Ginzburg;Anthony James Leggett,Roderick MacKinnon
Physics,David Gross;Hugh David Politzer;Frank Wilczek,Aaron Ciechanover
Physics,David Gross;Hugh David Politzer;Frank Wilczek,Avram Hershko
Physics,David Gross;Hugh David Politzer;Frank Wilczek,Irwin Rose
Physics,Roy J. Glauber;John L. Hall;Theodor W. Hänsch,Yves Chauvin
Physics,Roy J. Glauber;John L. Hall;Theodor W. Hänsch,Robert H. Grubbs
Physics,Roy J. Glauber;John L. Hall;Theodor W. Hänsch,Richard R. Schrock
Physics,John C. Mather;George Smoot,Roger D. Kornberg
